v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een ondersteunende dienst.;Strategische thema's HUD;Dienst Marketing & Communicatie;2;2;2;3;3;2;3;2;1;1;2;6;3;2;6;4;6;3;3;4;2;2;2;3;2;2;2;4;4;4;4;4;2;2;8;6;2;2;2;2;2;2;6;6;2;2;4;2;2;6;6;4;4;4;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Trajectum;Dienst Onderwijs, Onderzoek & Studentzaken;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;3;7;2;2;2;2;2;2;2;2;3;4;4;2;1;2;2;2;2;2;2;2;2;7;4;2;3;4;3;2;2;1;6;2;2;3;2
Vanuit mijn rol binnen een opleiding.;Communicatie Management 1;Instituut voor Communicatie;1;2;5;4;2;2;2;1;1;1;2;2;2;2;2;2;3;2;2;3;2;4;2;2;2;2;2;2;3;3;5;5;3;3;2;2;2;2;2;2;3;3;5;5;3;2;4;5;3;2;2;5;3;3;4;5
Vanuit mijn rol binnen een opleiding.;Instituut voor Paramedische Studies;Instituut voor Paramedische Studies;1;2;2;2;3;2;3;2;2;1;1;3;7;6;2;4;6;4;6;2;3;3;3;2;4;2;2;2;3;4;2;1;1;2;3;3;3;2;2;2;2;2;2;6;3;3;6;3;6;2;3;2;3;3;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Team Advisering Medezeggenschap;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;4;1;1;2;1;2;2;1;1;1;1;2;6;2;6;1;5;1;2;2;1;2;1;4;3;4;2;5;5;5;6;1;2;1;1;1;3;2;3;2;6;2;1;1;1;2;2;1;1;1;1;2;1;3
Vanuit mijn rol binnen een ondersteunende dienst.;Informatiespecialisten team 1;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;2;1;1;1;1;1;1;1;4;4;2;2;2;2;2;1;1;1;1;4;4;4
Vanuit mijn rol binnen een opleiding.;Team Sportfysiotherapie;Instituut voor Bewegingsstudies;1;2;2;1;2;1;2;2;2;2;2;2;2;2;6;6;6;6;2;2;2;4;4;2;4;2;2;2;2;4;3;2;2;2;2;2;2;2;2;4;2;4;4;3;4;4;6;4;4;2;4;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Theo Thijssen Utrecht team 3;Instituut voor Onderwijs en Orthopedagogiek;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;3;2;2;2;2;2;2;3;1;1;1;1;1;1;1;1;1;2;3;2;2;2;1;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Business Information Management;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3;2;2;3;3;3;3;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Team verpleegkunde jaar 1;Instituut voor Verpleegkundige Studies;1;2;2;3;2;2;3;3;3;2;3;2;2;2;6;6;2;2;3;2;2;4;3;4;4;2;2;2;2;6;6;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;6;6;3;3;3;6;6;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;Business Information Management;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;3;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1
Vanuit mijn rol binnen een opleiding.;Fysiotherapie team 5;Instituut voor Bewegingsstudies;1;2;2;2;2;8;2;2;1;1;2;1;1;1;1;2;2;1;2;2;2;2;2;2;1;2;2;2;3;1;2;2;3;2;2;2;1;2;2;2;2;2;2;8;2;2;3;3;8;2;3;2;2;2;3;2
Vanuit mijn rol binnen een opleiding.;Commerciele Economie team 1;Institute for Marketing & Commerce;1;2;2;2;2;1;1;2;2;1;3;2;2;2;2;2;3;3;1;2;2;3;3;1;4;2;2;2;3;4;4;4;3;2;2;3;2;3;3;3;3;3;3;4;2;3;4;3;3;2;3;2;2;3;3;2
Vanuit mijn rol binnen een ondersteunende dienst.;Management Control;Dienst Finance, Control & Analytics;2;2;3;3;2;2;2;2;1;2;2;2;3;4;3;4;6;4;4;3;4;4;4;2;2;3;2;4;4;4;6;6;4;2;3;2;2;2;4;4;4;4;4;6;3;4;4;6;6;3;3;4;4;4;4;4
Vanuit mijn rol binnen een opleiding.;Omgangskunde;Instituut Archimedes;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;1;1;2;2;1;3;2;1;1;2;3;2;2;2;1;1;1;1;1;2;1;1;1;1;1;2;2;3;2;2;2;3;2;2;2;2;2
Vanuit mijn rol binnen een ondersteunende dienst.;Praktijkbureau cluster Heidelberglaan 15;Dienst Onderwijs, Onderzoek & Studentzaken;2;2;1;1;2;2;2;2;1;1;2;2;3;2;3;2;2;2;2;2;1;1;2;1;3;2;2;3;2;3;2;2;2;2;8;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3
Vanuit mijn rol binnen een ondersteunende dienst.;Stafdienst Bedrijfsvoering;Dienst Bedrijfsvoering;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
